student_id,day,semester,late_or_not
8,W12W,Fall,not late
8,W12F,Fall,late
8,W13M,Fall,not late
8,W13W,Fall,late
8,W14M,Fall,late
8,W14W,Fall,not late
9,W0W,Fall,not late
9,W0F,Fall,not late
9,W1M,Fall,not late
9,W1W,Fall,not late
9,W1F,Fall,not late
9,W2M,Fall,not late
9,W2W,Fall,not late
9,W2F,Fall,not late
9,W3M,Fall,not late
9,W3W,Fall,not late
9,W3F,Fall,not late
9,W4M,Fall,not late
9,W4W,Fall,not late
9,W4F,Fall,not late
9,W5M,Fall,not late
9,W5F,Fall,not late
9,W6M,Fall,not late
9,W6W,Fall,not late
9,W6F,Fall,not late
9,W7M,Fall,not late
9,W7W,Fall,not late
9,W8W,Fall,not late
9,W8F,Fall,not late
9,W9M,Fall,not late
9,W9F,Fall,not late
9,W10M,Fall,not late
9,W10W,Fall,not late
9,W10F,Fall,not late
9,W11M,Fall,not late
9,W11W,Fall,not late
9,W11F,Fall,not late
9,W12M,Fall,not late
9,W12W,Fall,not late
9,W12F,Fall,not late
9,W13M,Fall,late
9,W13W,Fall,not late
9,W14M,Fall,not late
9,W14W,Fall,not late
10,W0W,Fall,not late
10,W0F,Fall,not late
10,W1M,Fall,late
10,W1W,Fall,late
10,W1F,Fall,late
10,W2M,Fall,not late
10,W2W,Fall,not late
10,W2F,Fall,not late
10,W3M,Fall,not late
10,W3W,Fall,not late
10,W3F,Fall,late
10,W4M,Fall,late
10,W4W,Fall,not late
10,W4F,Fall,not late
10,W5M,Fall,not late
10,W5F,Fall,late
10,W6M,Fall,not late
10,W6W,Fall,not late
10,W6F,Fall,not late
10,W7M,Fall,late
10,W7W,Fall,not late
10,W8W,Fall,not late
10,W8F,Fall,late
10,W9M,Fall,not late
10,W9F,Fall,late
10,W10M,Fall,not late
10,W10W,Fall,not late
10,W10F,Fall,late
10,W11M,Fall,not late
10,W11W,Fall,not late
10,W11F,Fall,late
10,W12M,Fall,late
10,W12W,Fall,late
10,W12F,Fall,late
10,W13M,Fall,late
10,W13W,Fall,not late
10,W14M,Fall,late
10,W14W,Fall,not late
11,W0W,Fall,not late
11,W0F,Fall,not late
11,W1M,Fall,not late
11,W1W,Fall,not late
11,W1F,Fall,not late
11,W2M,Fall,not late
11,W2W,Fall,not late
11,W2F,Fall,not late
11,W3M,Fall,not late
11,W3W,Fall,not late
11,W3F,Fall,not late
11,W4M,Fall,not late
11,W4W,Fall,not late
11,W4F,Fall,not late
11,W5M,Fall,not late
11,W5F,Fall,not late
11,W6M,Fall,not late
11,W6W,Fall,not late
11,W6F,Fall,not late
11,W7M,Fall,not late
11,W7W,Fall,not late
11,W8W,Fall,not late
