major1,major2,major3,minor1,minor2,minor3
ECON,BUSLA,NA,NA,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
ENVS,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PHYS,NA,NA,MATH,NA,NA
GOVT,NA,NA,REL,NA,NA
BIOL,NA,NA,PUB,NA,NA
BIOL,NA,NA,ECON,NA,NA
PHYS,NA,NA,MATH,NA,NA
PCA,NA,NA,MUS,NA,NA
ENVS,NA,NA,HIST,NA,NA
EN_BI,NA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
ECON,BUSLA,NA,STATS,NA,NA
PHYS,NA,NA,NA,NA,NA
EN_SO,NA,NA,OUTDR,NA,NA
PCA,NA,NA,NA,NA,NA
NRSCI,NA,NA,SSES,NA,NA
CHEM,MATH,NA,NA,NA,NA
GOVT,NA,NA,SSES,NA,NA
NRSCI,NA,NA,OUTDR,PUB,NA
MATH,ECON,NA,NA,NA,NA
ECON,BUSLA,NA,ITAL,NA,NA
ECON,BUSLA,NA,STATS,NA,NA
NRSCI,NA,NA,NA,NA,NA
ART,NA,NA,FLMS,NA,NA
EN_GO,NA,NA,MUS,NA,NA
ENVS,NA,NA,BIOL,PUB,GOVT
PCA,ENG,NA,NA,NA,NA
ENG,NA,NA,EDUCS,NA,NA
GOVT,NA,NA,PEAC,NA,NA
HIST,PSYC,NA,NA,NA,NA
PHIL,HIST,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
ENG,NA,NA,EDUCS,NA,NA
BIOL,ENVS,NA,NA,NA,NA
PHIL,NA,NA,HISP,NA,NA
GOVT,BUSLA,NA,NA,NA,NA
ENG,NA,NA,NA,NA,NA
BIOL,NA,NA,EDUCS,NA,NA
EN_EC,NA,NA,STATS,NA,NA
GOVT,FRST,SOC,NA,NA,NA
PCA,BUSLA,NA,SSES,NA,NA
GOVT,NA,NA,NA,NA,NA
GOVT,NA,NA,HIST,PCA,NA
PCA,NA,NA,NA,NA,NA
EN_PS,NA,NA,PUB,NA,NA
ECON,BUSLA,NA,NA,NA,NA
ANTH,NA,NA,NA,NA,NA
ENG,NA,NA,ART,NA,NA
HI_SP,NA,NA,ARAB,NA,NA
BIOL,NA,NA,SSES,NA,NA
HI_SP,NA,NA,ENG,NA,NA
PCA,NA,NA,PSYC,NA,NA
PCA,BUSLA,NA,NA,NA,NA
CS,MULTL,NA,MATH,NA,NA
GOVT,NA,NA,NA,NA,NA
NRSCI,NA,NA,CHEM,NA,NA
ECON,BUSLA,NA,PCA,NA,NA
HIST,NA,NA,ART,NA,NA
MATH,STAT,NA,NA,NA,NA
HISP,GS,NA,NA,NA,NA
ENG,NA,NA,REL,NA,NA
PCA,BUSLA,NA,NA,NA,NA
SOC,NA,NA,EDUCS,NA,NA
EN_SO,NA,NA,NA,NA,NA
GOVT,NA,NA,ECON,NA,NA
GS,NA,NA,NA,NA,NA
ART,NA,NA,EDUCT,NA,NA
HIST,NA,NA,ITAL,REL,NA
GOVT,NA,NA,SSES,NA,NA
MATH,NA,NA,NA,NA,NA
MUS,NA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
GOVT,GS,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
ANTH,NA,NA,NA,NA,NA
GOVT,NA,NA,SSES,NA,NA
BIOL,BUSLA,NA,NA,NA,NA
ECON,BUSLA,NA,PCA,NA,NA
PSYC,NA,NA,ENG,NA,NA
SOC,NA,NA,NA,NA,NA
GS,NA,NA,PCA,NA,NA
EN_SO,NA,NA,OUTDR,NA,NA
ANTH,NA,NA,NA,NA,NA
PHIL,EC_SP,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
STAT,ECON,NA,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
STAT,MATH,NA,NA,NA,NA
ECON,GOVT,NA,NA,NA,NA
EC_ML,NA,NA,STATS,NA,NA
PCA,NA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
GEOL,BUSLA,NA,NA,NA,NA
BIOL,NA,NA,CHEM,NA,NA
EN_MA,NA,NA,NA,NA,NA
EN_EC,NA,NA,OUTDR,ENG,NA
ENG,NA,NA,FLMS,NA,NA
GOVT,NA,NA,SOC,NA,NA
ART,NA,NA,NA,NA,NA
ENG,PCA,NA,NA,NA,NA
GS,NA,NA,NA,NA,NA
ECON,BUSLA,NA,ENG,AS,NA
STAT,NA,NA,MATH,NA,NA
STAT,NA,NA,SSES,NA,NA
PSYC,NA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
PCA,BUSLA,NA,ART,NA,NA
GOVT,NA,NA,NA,NA,NA
NRSCI,ANTH,NA,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
SOC,NA,NA,NA,NA,NA
SOC,NA,NA,NA,NA,NA
PHYS,MATH,NA,NA,NA,NA
ENG,NA,NA,PCA,NA,NA
ECON,GS,NA,NA,NA,NA
BI_PH,NA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
MUS,NA,NA,NA,NA,NA
BIOL,NA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
ENVS,NA,NA,NA,NA,NA
MFDBA,NA,NA,NA,NA,NA
ART,NA,NA,NA,NA,NA
MATH,NA,NA,NA,NA,NA
PSYC,NA,NA,EDUCS,GNDR,NA
ENVS,NA,NA,NA,NA,NA
PSYC,NA,NA,EDUCS,NA,NA
PSYC,NA,NA,NA,NA,NA
PCA,NA,NA,SSES,NA,NA
BIOL,NA,NA,SSES,NA,NA
GOVT,EC_FR,NA,NA,NA,NA
GEOL,NA,NA,NA,NA,NA
SOC,NA,NA,NA,NA,NA
ART,BUSLA,NA,NA,NA,NA
ENVS,NA,NA,ARAB,NA,NA
GS,NA,NA,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
PSYC,BUSLA,NA,SSES,NA,NA
SOC,NA,NA,FLMS,NA,NA
ECON,NA,NA,SOC,NA,NA
CONBI,NA,NA,AFS,GS,NA
PSYC,BUSLA,NA,NA,NA,NA
GOVT,NA,NA,GNDR,NA,NA
PCA,NA,NA,NA,NA,NA
CHEM,NA,NA,MATH,NA,NA
PHYS,NA,NA,NA,NA,NA
MATH,ECON,NA,STATS,NA,NA
GOVT,NA,NA,PHIL,NA,NA
PSYC,NA,NA,GS,PUB,NA
CS,MATH,NA,NA,NA,NA
STAT,CS,NA,NA,NA,NA
MATH,NA,NA,NA,NA,NA
SOC,NA,NA,PSYC,NA,NA
GOVT,BUSLA,NA,NA,NA,NA
EN_GO,NA,NA,NA,NA,NA
EN_EC,NA,NA,STATS,NA,NA
PCA,NA,NA,GNDR,NA,NA
GOVT,ENG,NA,NA,NA,NA
BIOL,NA,NA,GNDR,PUB,NA
ECON,BUSLA,NA,PHIL,NA,NA
ECON,GOVT,NA,EUR,NA,NA
BIOL,NA,NA,FLMS,PUB,NA
GS,BUSLA,NA,NA,NA,NA
ECON,NA,NA,SSES,STATS,NA
PHIL,GOVT,NA,NA,NA,NA
ART,NA,NA,NA,NA,NA
MATH,NA,NA,NA,NA,NA
PHYS,MATH,NA,NA,NA,NA
PSYC,ENG,NA,SSES,NA,NA
CS,BIOL,NA,AFS,NA,NA
ECON,NA,NA,FLMS,GNDR,NA
ENG,NA,NA,SSES,NA,NA
PCA,BUSLA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
EN_MA,NA,NA,AFS,NA,NA
ECON,GOVT,NA,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
BIOL,NA,NA,PUB,NA,NA
EC_ML,BUSLA,NA,ARAB,NA,NA
ECON,BUSLA,NA,STATS,NA,NA
PCA,NA,NA,SSES,NA,NA
EC_MA,NA,NA,NA,NA,NA
GOVT,MULTL,NA,ARAB,EUR,NA
ECON,NA,NA,HIST,NA,NA
ENG,HI_ML,NA,CLAS,NA,NA
ENG,NA,NA,NA,NA,NA
GS,NA,NA,NA,NA,NA
ENVS,NA,NA,AFS,NA,NA
NRSCI,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PSYC,BUSLA,NA,SSES,NA,NA
ECON,ENVS,NA,NA,NA,NA
ANTH,NA,NA,OUTDR,NA,NA
SOC,NA,NA,EDUCS,NA,NA
PSYC,BUSLA,NA,SSES,NA,NA
CONBI,NA,NA,NA,NA,NA
HIST,NA,NA,SSES,NA,NA
HI_SP,NA,NA,CLAS,NA,NA
NRSCI,NA,NA,ENG,NA,NA
ENVS,BUSLA,NA,NA,NA,NA
PCA,NA,NA,EDUCS,NA,NA
ECON,BUSLA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
GOVT,BUSLA,NA,NA,NA,NA
HIST,GOVT,NA,NA,NA,NA
EC_MA,NA,NA,NA,NA,NA
PSYC,NA,NA,PUB,NA,NA
CS,NA,NA,MATH,NA,NA
ART,NA,NA,NA,NA,NA
ENG,ART,NA,NA,NA,NA
PSYC,BUSLA,NA,STATS,NA,NA
HIST,GOVT,NA,CHIN,HISP,NA
BIOL,NA,NA,NA,NA,NA
PSYC,NA,NA,PUB,NA,NA
EN_MA,NA,NA,CLAS,OUTDR,NA
ENVS,NA,NA,PUB,NA,NA
GS,FRST,HIST,NA,NA,NA
ENG,NA,NA,NA,NA,NA
GEOL,NA,NA,NA,NA,NA
GEOL,NA,NA,NA,NA,NA
PSYC,NA,NA,GNDR,MUS,NA
GEOL,BUSLA,NA,NA,NA,NA
MATH,STAT,NA,NA,NA,NA
BIOL,NA,NA,SSES,NA,NA
PHIL,NA,NA,NA,NA,NA
ENVS,NA,NA,BIOL,NA,NA
BIOL,NA,NA,PUB,STATS,NA
CONBI,NA,NA,HISP,GS,NA
ECON,NA,NA,NA,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
BIOL,NA,NA,SSES,NA,NA
GEOL,NA,NA,NA,NA,NA
PHIL,BUSLA,NA,NA,NA,NA
PHYS,BUSLA,NA,NA,NA,NA
NRSCI,NA,NA,GS,PUB,NA
CS,NA,NA,ECON,MATH,NA
BIOL,ANTH,NA,PUB,NA,NA
STAT,NA,NA,NA,NA,NA
ART,PCA,NA,NA,NA,NA
GS,BUSLA,NA,NA,NA,NA
ECON,BUSLA,NA,STATS,NA,NA
PSYC,NA,NA,PCA,NA,NA
PSYC,NA,NA,EDUCS,PUB,NA
PSYC,NA,NA,EDUCS,MUS,NA
BIOL,NA,NA,NA,NA,NA
PSYC,ENVS,NA,NA,NA,NA
EN_EC,NA,NA,NA,NA,NA
ECON,GOVT,NA,NA,NA,NA
BIOL,NA,NA,MATH,NA,NA
EN_PH,NA,NA,EDUCS,NA,NA
CONBI,NA,NA,GRST,NA,NA
ENVS,NA,NA,GS,PUB,NA
GOVT,GS,NA,CHIN,NA,NA
EC_SP,NA,NA,CLAS,NA,NA
ECON,BUSLA,NA,AS,NA,NA
ENVS,ECON,NA,STATS,NA,NA
CONBI,NA,NA,NA,NA,NA
PSYC,STAT,NA,NA,NA,NA
PSYC,BUSLA,NA,EDUCS,NA,NA
PSYC,NA,NA,NA,NA,NA
HISP,NA,NA,ARAB,EDUCS,NA
PCA,NA,NA,NA,NA,NA
MULTL,NA,NA,ITAL,NA,NA
ECON,BUSLA,NA,NA,NA,NA
GS,GOVT,NA,AFS,NA,NA
ART,NA,NA,AFAMS,NA,NA
ECON,BUSLA,NA,NA,NA,NA
SOC,NA,NA,ANTH,NA,NA
PSYC,NA,NA,ENG,SOC,NA
FRST,BUSLA,NA,NA,NA,NA
NRSCI,NA,NA,NA,NA,NA
EN_PH,NA,NA,OUTDR,NA,NA
BIOL,NA,NA,CHEM,GEOL,NA
PSYC,NA,NA,ECON,NA,NA
GEOL,NA,NA,NA,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
PSYC,NA,NA,SSES,NA,NA
PSYC,BUSLA,NA,PUB,SSES,NA
CONBI,NA,NA,NA,NA,NA
SOC,NA,NA,NA,NA,NA
ECON,GOVT,NA,STATS,NA,NA
GOVT,ECON,NA,NA,NA,NA
GS,GOVT,NA,AS,NA,NA
GOVT,NA,NA,AFS,ENG,NA
GOVT,BUSLA,NA,SSES,NA,NA
ART,NA,NA,EDUCS,ENG,NA
CHEM,NA,NA,NA,NA,NA
PSYC,NA,NA,PCA,NA,NA
GS,FRST,NA,NA,NA,NA
SOC,BUSLA,NA,NA,NA,NA
PSYC,ART,NA,EDUCS,NA,NA
ENG,NA,NA,FRST,REL,NA
CHEM,NA,NA,EDUCS,NA,NA
GOVT,ART,NA,NA,NA,NA
CONBI,NA,NA,AFS,NA,NA
GEOL,GS,NA,NA,NA,NA
ENG,NA,NA,EDUCS,SOC,NA
BIOCH,NA,NA,NA,NA,NA
GOVT,PHIL,NA,NA,NA,NA
NRSCI,NA,NA,NA,NA,NA
HIST,NA,NA,EDUCS,NA,NA
ECON,BUSLA,NA,SSES,NA,NA
EN_SO,NA,NA,PUB,NA,NA
ECON,FRST,NA,GOVT,NA,NA
GOVT,ECON,NA,NA,NA,NA
ECON,PHIL,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
ANTH,NA,NA,SOC,NA,NA
GOVT,NA,NA,PHIL,NA,NA
ENVS,FRST,NA,NA,NA,NA
ENG,NA,NA,NA,NA,NA
ENVS,NA,NA,NA,NA,NA
CONBI,NA,NA,AFS,NA,NA
PCA,NA,NA,EDUCS,NA,NA
ECON,BUSLA,NA,NA,NA,NA
MATH,NA,NA,PCA,NA,NA
GEOL,NA,NA,NA,NA,NA
BIOL,NA,NA,ENG,NA,NA
BIOL,NA,NA,GS,PUB,NA
GS,NA,NA,MUS,SOC,NA
BIOL,NA,NA,PUB,STATS,NA
BIOL,NA,NA,ART,PSYC,NA
PSYC,NA,NA,EDUCS,PUB,NA
ENG,NA,NA,EUR,NA,NA
ECON,BUSLA,NA,NA,NA,NA
NRSCI,NA,NA,CHEM,PUB,NA
GOVT,NA,NA,ENG,NA,NA
BIOL,NA,NA,PUB,NA,NA
EC_ML,NA,NA,NA,NA,NA
EN_MA,NA,NA,AFS,NA,NA
EN_BI,NA,NA,NA,NA,NA
MFLD,NA,NA,NA,NA,NA
BIOL,NA,NA,PUB,SSES,NA
ECON,GOVT,NA,NA,NA,NA
GOVT,HIST,NA,PHIL,NA,NA
EN_EC,BUSLA,NA,NA,NA,NA
GOVT,NA,NA,STATS,NA,NA
HIST,PHIL,NA,AFS,NA,NA
MATH,ECON,NA,STATS,NA,NA
ECON,NA,NA,NA,NA,NA
PCA,NA,NA,SSES,NA,NA
FRST,NA,NA,NA,NA,NA
EN_SO,NA,NA,OUTDR,PHIL,NA
ECON,BUSLA,NA,NA,NA,NA
PCA,NA,NA,SSES,NA,NA
PSYC,BIOL,NA,PUB,NA,NA
SOC,BUSLA,NA,PUB,NA,NA
ANTH,NA,NA,HISP,NA,NA
PCA,NA,NA,SSES,NA,NA
BIOL,NA,NA,PSYC,NA,NA
GOVT,ENG,NA,EDUCS,NA,NA
ECON,BUSLA,FRST,GOVT,NA,NA
PCA,NA,NA,REL,NA,NA
STAT,NA,NA,ITAL,NA,NA
ANTH,NA,NA,SSES,NA,NA
CHEM,NA,NA,NA,NA,NA
BIOL,NA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
PSYC,NA,NA,EDUCS,PUB,NA
PCA,NA,NA,NA,NA,NA
SOC,NA,NA,GNDR,PUB,NA
HIST,SOC,NA,EDUCS,NA,NA
PSYC,NA,NA,EDUCS,NA,NA
BIOL,NA,NA,PUB,NA,NA
CONBI,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
BIOL,NA,NA,PUB,SSES,NA
PSYC,NA,NA,FLMS,SSES,NA
BIOCH,NA,NA,NA,NA,NA
CONBI,NA,NA,AFS,NA,NA
PCA,NA,NA,SSES,NA,NA
ENG,NA,NA,PHIL,NA,NA
GOVT,BUSLA,NA,NA,NA,NA
REL,GOVT,NA,ARAB,NA,NA
GS,FRST,NA,EUR,NA,NA
EN_SO,NA,NA,PSYC,NA,NA
ECON,BUSLA,NA,MATH,NA,NA
GOVT,NA,NA,PHIL,NA,NA
STAT,ECON,NA,NA,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
CS,NA,NA,HISP,NA,NA
GOVT,NA,NA,NA,NA,NA
ECON,NA,NA,STATS,NA,NA
BI_PH,NA,NA,MATH,NA,NA
PCA,NA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
GOVT,NA,NA,ENG,NA,NA
GS,ENVS,NA,OUTDR,NA,NA
ENVS,FRST,NA,NA,NA,NA
GS,NA,NA,PUB,NA,NA
EN_SO,NA,NA,OUTDR,NA,NA
GOVT,NA,NA,NA,NA,NA
PHIL,HIST,NA,NA,NA,NA
PCA,BUSLA,NA,SSES,NA,NA
GS,BUSLA,NA,NA,NA,NA
ECON,BUSLA,NA,STATS,NA,NA
MATH,ECON,NA,STATS,NA,NA
BIOL,NA,NA,SSES,NA,NA
ECON,BUSLA,NA,NA,NA,NA
EN_BI,NA,NA,NA,NA,NA
PSYC,NA,NA,ANTH,PUB,NA
GOVT,NA,NA,MATH,NA,NA
SOC,NA,NA,HISP,NA,NA
PCA,NA,NA,SOC,NA,NA
PSYC,NA,NA,GOVT,NA,NA
SOC,BUSLA,NA,NA,NA,NA
BIOL,NA,NA,CS,NA,NA
EC_SP,BUSLA,NA,CLAS,NA,NA
EC_SP,GOVT,NA,MATH,NA,NA
EC_MA,NA,NA,NA,NA,NA
PSYC,NA,NA,HISP,NA,NA
EN_EN,NA,NA,OUTDR,NA,NA
GOVT,NA,NA,HISP,REL,NA
PSYC,NA,NA,STATS,NA,NA
HIST,NA,NA,NA,NA,NA
PSYC,NA,NA,ANTH,PUB,NA
PCA,BUSLA,NA,NA,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
BIOL,NA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
SOC,NA,NA,ART,GNDR,NA
ENG,NA,NA,ITAL,NA,NA
CONBI,NA,NA,NA,NA,NA
ART,BUSLA,NA,NA,NA,NA
EN_GO,NA,NA,BIOL,NA,NA
EN_SO,NA,NA,PUB,NA,NA
ECON,BUSLA,NA,STATS,NA,NA
PCA,NA,NA,ART,NA,NA
PSYC,NA,NA,GNDR,NA,NA
PSYC,NA,NA,ECON,NA,NA
PSYC,NA,NA,PUB,NA,NA
REL,NA,NA,NA,NA,NA
MFLD,NA,NA,AFS,NA,NA
HIST,NA,NA,PCA,NA,NA
ANTH,NA,NA,EDUCS,NA,NA
EC_MA,NA,NA,NA,NA,NA
EC_MA,NA,NA,NA,NA,NA
PSYC,NA,NA,GNDR,NA,NA
BIOL,HIST,NA,CHEM,NA,NA
SOC,BUSLA,NA,NA,NA,NA
EN_SO,NA,NA,NA,NA,NA
MATH,NA,NA,NA,NA,NA
GEOL,NA,NA,NA,NA,NA
PSYC,SOC,NA,NA,NA,NA
EN_BI,NA,NA,SSES,NA,NA
ENG,NA,NA,GOVT,NA,NA
PHYS,MATH,NA,CS,NA,NA
CHEM,NA,NA,NA,NA,NA
GOVT,PSYC,NA,NA,NA,NA
GOVT,BUSLA,NA,GRST,NA,NA
HIST,ENVS,NA,ART,NA,NA
BIOL,NA,NA,FRST,NA,NA
GOVT,NA,NA,NA,NA,NA
ENG,NA,NA,SOC,NA,NA
ECON,NA,NA,STATS,NA,NA
STAT,GOVT,NA,NA,NA,NA
BIOCH,NA,NA,EDUCS,MATH,NA
PSYC,NA,NA,EDUCS,HISP,NA
PSYC,NA,NA,ANTH,ARAB,GNDR
ECON,NA,NA,EUR,STATS,NA
GOVT,NA,NA,ARAB,HISP,NA
ECON,BUSLA,NA,FLMS,NA,NA
SOC,NA,NA,EDUCS,GNDR,NA
ENG,NA,NA,NA,NA,NA
NRSCI,NA,NA,EDUCS,PUB,NA
NRSCI,NA,NA,CS,MUS,NA
ART,NA,NA,EDUCS,NA,NA
ART,BUSLA,NA,NA,NA,NA
HIST,ENVS,NA,AFS,NA,NA
PHIL,NA,NA,OUTDR,NA,NA
PCA,GOVT,NA,NA,NA,NA
GS,NA,NA,FRST,PUB,NA
EN_EC,NA,NA,FLMS,NA,NA
STAT,GOVT,NA,NA,NA,NA
NRSCI,NA,NA,PUB,NA,NA
SOC,BUSLA,NA,NA,NA,NA
PSYC,NA,NA,BIOL,OUTDR,NA
BI_PH,NA,NA,MATH,NA,NA
BIOL,PSYC,NA,NA,NA,NA
ENG,NA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
ECON,HISP,NA,CLAS,NA,NA
EN_EC,NA,NA,NA,NA,NA
ENVS,GOVT,NA,NA,NA,NA
EN_PS,NA,NA,NA,NA,NA
ANTH,BUSLA,NA,PUB,NA,NA
ECON,ENG,NA,NA,NA,NA
MATH,STAT,NA,ECON,NA,NA
ECON,BUSLA,NA,NA,NA,NA
ENVS,NA,NA,CS,NA,NA
ENG,NA,NA,EDUCT,NA,NA
ECON,NA,NA,ART,NA,NA
PHIL,BUSLA,NA,NA,NA,NA
ART,ENG,NA,GNDR,NA,NA
BIOL,NA,NA,NA,NA,NA
HIST,NA,NA,AFS,GOVT,PCA
MATH,NA,NA,EDUCS,ITAL,NA
ECON,BUSLA,NA,HISP,NA,NA
BIOL,NA,NA,CHEM,NA,NA
GOVT,HIST,NA,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
GOVT,NA,NA,ART,NA,NA
BIOL,NA,NA,GOVT,PUB,NA
PSYC,NA,NA,AFS,NA,NA
ENG,NA,NA,ART,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PSYC,NA,NA,PUB,NA,NA
GOVT,BUSLA,NA,NA,NA,NA
PSYC,NA,NA,BIOL,PUB,NA
ECON,BUSLA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
NRSCI,NA,NA,NA,NA,NA
HISP,NA,NA,CLAS,SOC,NA
ECON,NA,NA,NA,NA,NA
PCA,NA,NA,EDUCS,NA,NA
CONBI,NA,NA,AFS,NA,NA
PSYC,NA,NA,HISP,NA,NA
ENVS,NA,NA,BIOL,NA,NA
GS,NA,NA,HISP,NA,NA
EN_EC,BUSLA,NA,NA,NA,NA
AF_GO,ANTH,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
ENVS,GOVT,NA,GRST,NA,NA
MATH,NA,NA,CHEM,NA,NA
HISP,PCA,NA,CLAS,NA,NA
ENVS,ART,NA,AFS,NA,NA
EN_GE,NA,NA,AFS,NA,NA
ECON,BUSLA,NA,NA,NA,NA
ENVS,GOVT,NA,NA,NA,NA
GOVT,NA,NA,ARAB,NA,NA
EC_GR,NA,NA,NA,NA,NA
GEOL,NA,NA,SSES,NA,NA
ECON,BUSLA,NA,NA,NA,NA
CHEM,NA,NA,MATH,NA,NA
GEOL,NA,NA,NA,NA,NA
ENG,NA,NA,ITAL,NA,NA
CHEM,PSYC,NA,NA,NA,NA
ENG,NA,NA,FLMS,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
PHIL,GOVT,NA,NA,NA,NA
PHIL,NA,NA,GS,NA,NA
BIOL,PSYC,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PCA,PSYC,NA,NA,NA,NA
EC_FR,BUSLA,NA,NA,NA,NA
ECON,BUSLA,NA,PCA,NA,NA
ENG,NA,NA,NA,NA,NA
PCA,ENG,NA,NA,NA,NA
PSYC,NA,NA,EDUCS,NA,NA
ENG,PSYC,NA,EDUCS,NA,NA
CHEM,ENG,NA,NA,NA,NA
PCA,BUSLA,NA,NA,NA,NA
ENG,NA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
PSYC,BUSLA,NA,EDUCS,NA,NA
ENG,BUSLA,NA,ITAL,NA,NA
PSYC,NA,NA,EDUCS,GRST,NA
PSYC,NA,NA,FLMS,PCA,NA
PCA,ECON,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
ART,NA,NA,GNDR,NA,NA
ECON,BUSLA,NA,STATS,NA,NA
HIST,GOVT,NA,NA,NA,NA
ECON,FRST,NA,NA,NA,NA
HIST,NA,NA,NA,NA,NA
EN_SO,NA,NA,NA,NA,NA
ENVS,NA,NA,ART,ECON,NA
EN_BI,NA,NA,NA,NA,NA
NRSCI,NA,NA,NA,NA,NA
BIOL,NA,NA,PSYC,NA,NA
PCA,NA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
NRSCI,NA,NA,NA,NA,NA
EN_EC,BUSLA,NA,NA,NA,NA
ART,NA,NA,HISP,NA,NA
ENVS,NA,NA,PUB,NA,NA
SOC,NA,NA,NA,NA,NA
ENVS,NA,NA,SOC,NA,NA
SOC,NA,NA,PUB,NA,NA
PSYC,HISP,NA,NA,NA,NA
ECON,NA,NA,ART,NA,NA
ECON,BUSLA,NA,FLMS,NA,NA
CN_GT,NA,NA,FLMS,NA,NA
GS,NA,NA,ARAB,NA,NA
ENG,BUSLA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PSYC,NA,NA,EDUCS,NA,NA
PSYC,NA,NA,BIOL,NA,NA
BIOL,NA,NA,SOC,NA,NA
GEOL,NA,NA,ANTH,NA,NA
ENG,FRST,NA,NA,NA,NA
SOC,NA,NA,SSES,NA,NA
PSYC,NA,NA,EDUCS,SOC,NA
PSYC,ANTH,NA,NA,NA,NA
EC_ML,NA,NA,ARAB,GRST,NA
HIST,NA,NA,NA,NA,NA
HIST,NA,NA,ART,NA,NA
BIOL,NA,NA,SSES,NA,NA
PCA,NA,NA,NA,NA,NA
GOVT,FRST,NA,NA,NA,NA
MATH,CS,NA,NA,NA,NA
STAT,MATH,NA,NA,NA,NA
MFLD,NA,NA,BIOL,NA,NA
CS,STAT,NA,NA,NA,NA
GOVT,NA,NA,GS,NA,NA
PSYC,NA,NA,MUS,NA,NA
ART,NA,NA,CHEM,NA,NA
BIOL,NA,NA,PUB,NA,NA
STAT,ECON,NA,NA,NA,NA
MATH,CS,NA,MUS,NA,NA
CS,MATH,NA,NA,NA,NA
ECON,BUSLA,NA,MATH,NA,NA
BIOL,NA,NA,CHEM,ECON,EUR
GOVT,NA,NA,GS,SSES,NA
STAT,ECON,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
ECON,NA,NA,MATH,STATS,NA
HIST,BUSLA,NA,NA,NA,NA
ENVS,NA,NA,NA,NA,NA
MUS,PSYC,NA,NA,NA,NA
CHEM,NA,NA,MUS,NA,NA
BIOCH,NA,NA,MATH,NA,NA
ART,BUSLA,NA,NA,NA,NA
AF_GO,NA,NA,EDUCS,GNDR,NA
GOVT,BUSLA,NA,AFS,NA,NA
SOC,NA,NA,ARAB,GS,NA
GOVT,ECON,NA,NA,NA,NA
MATH,NA,NA,NA,NA,NA
BIOL,MULTL,NA,NA,NA,NA
BIOL,NA,NA,MATH,NA,NA
BIOL,NA,NA,NA,NA,NA
PHYS,NA,NA,MATH,NA,NA
MATH,NA,NA,NA,NA,NA
MUS,NA,NA,NA,NA,NA
BIOL,ART,NA,PUB,NA,NA
MATH,NA,NA,PHYS,NA,NA
ECON,NA,NA,SSES,NA,NA
GS,NA,NA,NA,NA,NA
GS,NA,NA,NA,NA,NA
HIST,GOVT,NA,NA,NA,NA
CS,ENG,NA,NA,NA,NA
PHYS,MATH,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
GEOL,NA,NA,NA,NA,NA
REL,NA,NA,NA,NA,NA
MATH,PHYS,NA,NA,NA,NA
