major1,major2,major3,minor1,minor2,minor3
PSYC,NA,NA,SSES,EDUCS,NA
HIST,REL,NA,NA,NA,NA
ENVS,BUSLA,NA,NA,NA,NA
EN_SO,NA,NA,AS,NA,NA
HIST,BUSLA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
ENG,NA,NA,NA,NA,NA
DATA,NA,NA,ART,NA,NA
POLS,FRST,NA,EUR,NA,NA
PCA,BUSLA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
PSYC,ECON,NA,NA,NA,NA
SOC,NA,NA,POLS,GS,NA
NRSCI,NA,NA,NA,NA,NA
PCA,NA,NA,ITAL,SSES,NA
CS,NA,NA,SSES,NA,NA
HIST,ANTH,NA,NA,NA,NA
BIOL,BUSLA,NA,HISP,NA,NA
GEOL,NA,NA,REL,NA,NA
PSYC,NA,NA,BIOL,NA,NA
ECON,PCA,NA,NA,NA,NA
HIST,NA,NA,NA,NA,NA
BIOL,NA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
CONBI,NA,NA,ENG,NA,NA
DATA,NA,NA,NA,NA,NA
HIST,NA,NA,NA,NA,NA
PSYC,NA,NA,OUTDR,ART,SSES
FINC,BUSLA,NA,PCA,NA,NA
NRSCI,NA,NA,STATS,NA,NA
POLS,GS,NA,NA,NA,NA
FINC,BUSLA,NA,SSES,NA,NA
HIST,ANTH,NA,EUR,OUTDR,NA
CS,NA,NA,NA,NA,NA
PCA,BUSLA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
BIOL,NA,NA,NA,NA,NA
PCA,HISP,NA,CLAS,NA,NA
BIMED,NA,NA,PUB,NA,NA
PCA,NA,NA,NA,NA,NA
BIOL,NA,NA,NA,NA,NA
EC_FR,NA,NA,NA,NA,NA
FINC,NA,NA,SSES,NA,NA
BIOL,NA,NA,NA,NA,NA
POLS,ECON,NA,NA,NA,NA
PSYC,NA,NA,EDUCS,NA,NA
EC_MA,NA,NA,NA,NA,NA
ART,BUSLA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
EN_EC,NA,NA,STATS,NA,NA
PSYC,ENG,NA,NA,NA,NA
GOVT,NA,NA,EUR,NA,NA
GEOL,NA,NA,NA,NA,NA
GEOL,NA,NA,NA,NA,NA
CONBI,NA,NA,ENG,NA,NA
DMF,NA,NA,ENG,NA,NA
HIST,ECON,NA,NA,NA,NA
ECON,POLS,NA,NA,NA,NA
ENVS,NA,NA,SOC,OUTDR,NA
POLS,NA,NA,EUR,PHIL,NA
GOVT,HIST,NA,NA,NA,NA
MATH,NA,NA,NA,NA,NA
ENG,BUSLA,NA,NA,NA,NA
ENG,BUSLA,NA,NA,NA,NA
DATA,NA,NA,MATH,NA,NA
EN_PS,NA,NA,EUR,NA,NA
PSYC,NA,NA,NA,NA,NA
PHIL,FINC,NA,NA,NA,NA
EN_PS,NA,NA,ART,NA,NA
DATA,ECON,NA,NA,NA,NA
HIST,NA,NA,NA,NA,NA
PSYC,NA,NA,SOC,GRST,NA
PSYC,BUSLA,NA,NA,NA,NA
PSYC,SOC,NA,PUB,NA,NA
BIOL,MATH,NA,OUTDR,NA,NA
PSYC,NA,NA,BIOL,SSES,NA
PCA,BUSLA,NA,ITAL,NA,NA
EN_PS,NA,NA,NA,NA,NA
GOVT,ENVS,NA,EDUCS,NA,NA
CHEM,NA,NA,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
